26/03/2014 18:15:05,39324997.602203935
27/03/2014 18:15:05,41565029.11119024
28/03/2014 18:15:05,45547307.349388115
29/03/2014 18:15:05,42560598.67073971
30/03/2014 18:15:05,37084966.09321764
31/03/2014 18:15:05,41813921.501077615
01/04/2014 18:15:05,44551737.78983865
02/04/2014 18:15:05,46045092.12916285
03/04/2014 18:15:05,51769617.09657227
04/04/2014 18:15:05,50027370.36736071
05/04/2014 18:15:05,54454168.87705699
06/04/2014 18:15:05,43198279.22090554
07/04/2014 18:15:05,44415132.15670569
08/04/2014 18:15:05,47457264.49620609
09/04/2014 18:15:05,44110918.92275566
10/04/2014 18:15:05,53237315.94125684
11/04/2014 18:15:05,45327771.85855581
12/04/2014 18:15:05,48674117.43200625
13/04/2014 18:15:05,60538433.55605776
14/04/2014 18:15:05,55366808.5789071
15/04/2014 18:15:05,59321580.62025761
16/04/2014 18:15:05,45327771.85855581
17/04/2014 18:15:05,60364106.06763534
18/04/2014 18:15:05,54119543.370983414
19/04/2014 18:15:05,56547984.41968138
20/04/2014 18:15:05,58976425.46837935
21/04/2014 18:15:05,61404866.51707734
22/04/2014 18:15:05,53425703.071355425
23/04/2014 18:15:05,60711026.21744935
24/04/2014 18:15:05,50997262.02265744
25/04/2014 18:15:05,56894904.56949538
26/04/2014 18:15:05,61751786.66689132
27/04/2014 18:15:05,57935665.01893737
28/04/2014 18:15:05,57588744.86912338
29/04/2014 18:15:05,54813383.6706114
30/04/2014 18:15:05,58067924.62807055
01/05/2014 18:15:05,66817885.873396255
02/05/2014 18:15:05,67613336.89569858
03/05/2014 18:15:05,57272473.60576822
04/05/2014 18:15:05,60454277.69497756
05/05/2014 18:15:05,49715688.89389603
06/05/2014 18:15:05,73976945.07411727
07/05/2014 18:15:05,64829258.317640394
08/05/2014 18:15:05,62045179.73958224
09/05/2014 18:15:05,66022434.85109392
10/05/2014 18:15:05,70397415.47375676
11/05/2014 18:15:05,66022434.85109392
12/05/2014 18:15:05,69096596.76360624
13/05/2014 18:15:05,74817971.01791754
14/05/2014 18:15:05,66015856.78051549
15/05/2014 18:15:05,73057548.17043714
16/05/2014 18:15:05,80099239.56035879
17/05/2014 18:15:05,80539345.27222891
18/05/2014 18:15:05,67776279.62799591
19/05/2014 18:15:05,77898711.00100829
20/05/2014 18:15:05,78778922.42474851
21/05/2014 18:15:05,78338816.71287839
22/05/2014 18:15:05,73497653.88230725
23/05/2014 18:15:05,69536702.47547632
24/05/2014 18:15:05,87319120.09901299
25/05/2014 18:15:05,78483256.75566049
26/05/2014 18:15:05,87838876.76626901
27/05/2014 18:15:05,67048610.07602782
28/05/2014 18:15:05,91996930.10431726
29/05/2014 18:15:05,68088123.4105399
30/05/2014 18:15:05,84720336.76273283
31/05/2014 18:15:05,79003013.42291652
01/06/2014 18:15:05,93036443.43882932
02/06/2014 18:15:05,93036443.43882932
03/06/2014 18:15:05,97714253.44413356
04/06/2014 18:15:05,95115470.10785344
05/06/2014 18:15:05,75364716.7521243
06/06/2014 18:15:05,86494362.12419711
07/06/2014 18:15:05,89416468.95271729
08/06/2014 18:15:05,87663204.85560519
09/06/2014 18:15:05,79481305.7357487
10/06/2014 18:15:05,103442581.72961411
11/06/2014 18:15:05,85325519.39278905
12/06/2014 18:15:05,90585311.68412535
13/06/2014 18:15:05,98182789.43827781
14/06/2014 18:15:05,102858160.36391008
15/06/2014 18:15:05,108702374.02095042
16/06/2014 18:15:05,118637537.23791899
17/06/2014 18:15:05,104027003.09531812
18/06/2014 18:15:05,113768842.8586026
19/06/2014 18:15:05,101053501.59793527
20/06/2014 18:15:05,123807270.16965577
21/06/2014 18:15:05,126484184.11926997
22/06/2014 18:15:05,129161098.06888412
23/06/2014 18:15:05,105738101.00976005
24/06/2014 18:15:05,132507240.50590186
25/06/2014 18:15:05,124476498.65705933
26/06/2014 18:15:05,114438071.34600616
27/06/2014 18:15:05,125145727.14446287
28/06/2014 18:15:05,125145727.14446287
29/06/2014 18:15:05,145472743.41577172
30/06/2014 18:15:05,104506281.18949117
01/07/2014 18:15:05,115374934.43319826
02/07/2014 18:15:05,116210984.68271418
03/07/2014 18:15:05,111194683.1856186
04/07/2014 18:15:05,133768039.9225487
05/07/2014 18:15:05,127079637.92642125
06/07/2014 18:15:05,124571487.17787348
07/07/2014 18:15:05,116210984.68271418
08/07/2014 18:15:05,135440140.42158055
09/07/2014 18:15:05,132931989.67303275
10/07/2014 18:15:05,128751738.42545313
11/07/2014 18:15:05,125407537.42738938
12/07/2014 18:15:05,137948291.17012835
13/07/2014 18:15:05,132716120.67349797
14/07/2014 18:15:05,124959983.7510208
15/07/2014 18:15:05,118927432.81131636
16/07/2014 18:15:05,142195843.5787478
17/07/2014 18:15:05,147366601.52706593
18/07/2014 18:15:05,137025085.63042971
19/07/2014 18:15:05,148228394.5184522
20/07/2014 18:15:05,146504808.53567958
21/07/2014 18:15:05,128407155.7165662
22/07/2014 18:15:05,123236397.76824811
23/07/2014 18:15:05,125821776.74240714
24/07/2014 18:15:05,128407155.7165662
25/07/2014 18:15:05,135301499.647657
26/07/2014 18:15:05,130395098.64687596
27/07/2014 18:15:05,149954363.4439074
28/07/2014 18:15:05,126669524.39982238
29/07/2014 18:15:05,138777640.70274657
30/07/2014 18:15:05,162993873.308595
31/07/2014 18:15:05,143434608.5115636
01/08/2014 18:15:05,142503214.9498002
02/08/2014 18:15:05,157405511.93801457
03/08/2014 18:15:05,141571821.3880368
04/08/2014 18:15:05,125738130.838059
05/08/2014 18:15:05,122943950.15276879
